"resp","response_token","timestamp","fu_json","p3q1","p3q2","p3q3","p3q3a","p3q4","p3q5","p3q6","p3q7","p3q8","p3q9","p3q10","p3q11","p3q12","p3q13","p3q14","p3q15","p3q16a","p3q16b","p3q16c","p3q16d","p3q16e","p3q16f","p3q16g","p3q16h","p3q16i","p3q16j","p3q16k","p3q16l","p3q16m","p3q16n","p3q16o","p3q16p","p3q17a","p3q17b","p3q17c","p3q17d","p3q17e","p3q17f","p3q17g","p3q17h","p3q17i","p3q17j","p3q17k","p3q18","p3q19","p3q20","p3q21","p3q22","p3q23","p3q24","p3q25","p3q26","p3q27","p3q28","p3q29","p3q30","p3q31a","p3q31b","p3q31c","p3q31d","p3q31e","p3q31f","p3q31g","p3q31h","p3q31i","p3q31j","p3q31k","p3q31l","p3q31m","p3q31n","p3q31o","p3q31p","p3q31q","p3q32a","p3q32b","p3q32c","p3q32d","p3q32e","p3q32f","p3q32g","p3q32h","p3q32i","p3q32j","p3q32k","p3q33","p3q34a","p3q34b","p3q34c","p3q34d","p3q34e","p3q34f","p3q34g","p3q34h","p3q34i","p3q34j","p3q34k","p3q34l","p3q34m","p3q34n","p3q34o"
"657","8d5b6a5e51d05c64c24a4bb81134fef016aaf70b9a64ce835ea7e67914104f82","1431557094",,"NANS","NANS","NANS","NANS","once","NANS","NANS","NANS","NANS","lower_drinking_age","lower_drinking_age","beer","never","never","no","bars","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"658","95bf14b585cd9b8f9ad6e2ca11ef7e7f4d2d5065ee6d70d7ce3cbc21a75fc94d","1431557109",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"659","28bef4689a6929d256b2d53568febdd1b6c65b3e5ffcf773b3548d0dbfffff45","1431557219","whippits_amount=g20&psychedelics_trip_sitter=sometimes&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=no&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cgiven_friends&lsd_obtained=bought_friends_MIT%2Cgiven_friends&lsd_dose=50_150","NANS","NANS","NANS","NANS","10_100","yes","19","2","NANS","bought_friends,given_friends,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,parents,lower_drinking_age","given_friends","liquor","twice","3_10","no","elsewhere_socializing","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","once","never","once","never","10_100","joint,bowl,vaporizer,edible","bought_friends_MIT,given_friends","20","3","yes","at_lg_socializing","no","no","no","vaporizer","given_friends","NANS","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"660","ef405af0a07852fbef3bdbaac6386d34b78031bc5e9cda7734c8c78153f7d9e6","1431557356",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","NANS","NANS","liquor","3_10","twice","no","at_lg_socializing","no","no","yes","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"661","d66ef86f5c2086ed0363b3d1efb48157d1fa3db2bce7d602a5152d0d0152d92a","1431557328","psychedelics_trip_sitter=never&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_obtained=given_friends&lsd_obtained=given_friends&lsd_dose=50_150","once","no","yes","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,MIT_FSILG_parties,non_MIT_FSILG_party","bought_friends","liquor","3_10","3_10","no","at_lg_socializing","no","no","yes","yes","no","no","no","no","no","NANS","no","no","no","no","no","no","never","ge3","never","never","once","once","never","never","never","never","never","twice","joint,edible","bought_friends_MIT,given_friends","19","1","yes","others_parties","no","no","no","joint","given_friends","NANS","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","NANS","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"662","11a4d85882de73ad3e40c83766e941ce4092491a9ea77533d1bbbc2ce5480729","1431557455",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"663","7f162f5fc764b96dc69ee33d1dac944d6be7b35e6a642670618f4e13cd41baaf","1431557775",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"664","1c8f6b570bf35ca0a3bd15f72d31cc4413dca9808024d2170c45eb18272d2370","1431557543",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,student_group_events,no_id,lower_drinking_age","bought_friends","liquor","3_10","3_10","no","elsewhere_socializing","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","never","never","never","never","never","never","never","never","never","never","never","3_10","joint,bowl,bong,vaporizer","bought_friends_MIT,given_friends","18","1","yes","elsewhere_socializing","no","no","NANS","NANS","NANS","NANS","yes","no","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"665","4f212c0e4d33e0414610f435c08d0418141b76846fd3157995a4a23ddc9ad433","1431557585",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","official_parties,parents","parents","wine","never","once","no","my_parties","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"666","009a91576c0ce45bbd56be6f18a6b5beb8007a03048e82c5bb2efd86a45a41cb","1431557600","cocaine_circumstances=others_parties&cocaine_obtained=bought_friends_MIT%2Cbought_non_MIT&psychedelics_trip_sitter=always&psychedelics_bad_trip=twice&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=no&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=yes&psychedelics_reasonsl=yes&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cbought_non_friends_MIT%2Cbought_non_MIT%2Cgiven_friends&lsd_obtained=bought_friends_MIT&lsd_dose=20_50&lsd_alternatives_compounds=2cb&lsd_alternatives_reasons=availability&presc_stim_use_past_12=1_per_month&presc_stim_prescribed=yes&presc_stim_form=whole_pill%2Ccrushed_oral%2Csnorting&presc_stim_obtained=my_own%2Cbought_friends_MIT&presc_stim_source_prescribed=yes&presc_stim_academic_use=yes_effective&presc_stim_with_alcohol=yes","10_100","no","yes","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,parents,other_id,fake_id","fake_id","beer","10_100","gt100","no","others_parties","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","ge3","ge3","never","once","never","never","ge3","twice","twice","once","gt100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing","bought_friends_MIT,bought_non_friends_MIT,bought_non_MIT,given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","yes","bong","bought_non_MIT","NANS","no","no","yes","yes","no","yes","no","no","no","no","yes","yes","yes","yes","yes","no","no","never","never","never","never","never","never","never","twice","never","never","never","twice","never","never","never","never","never","never","never","never","never","twice","never","never","never","never","never"
"667","d30826d08bc6242bf69d288adcb87112c1bd410c0d9b8d180a6acd783a1d7745","1431557650",,"NANS","NANS","NANS","NANS","3_10","no","21","3","NANS","NANS","NANS","beer","never","never","no","bars","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"668","96bc89ad12843974968fc1393bb8467ed05bed60a7d843adb993ea4b28837aac","1431557673","caffeine_with_alcohol=yes&whippits_amount=3_5&presc_stim_use_past_12=1_5_total&presc_stim_prescribed=no&presc_stim_form=whole_pill&presc_stim_obtained=given_friends&presc_stim_source_prescribed=yes&presc_stim_academic_use=yes_effective&presc_stim_with_alcohol=no","10_100","no","no","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties","MIT_FSILG_parties","beer","10_100","10_100","no","my_parties","yes","yes","yes","yes","no","yes","yes","no","yes","no","no","no","yes","yes","yes","no","once","ge3","never","never","never","never","never","ge3","ge3","ge3","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"669","b2ab72e2521ddc8f64c488553b352c2919d1042599b2714eeff80069bbb375e5","1431558014","caffeine_with_alcohol=yes&cocaine_circumstances=socializing&cocaine_obtained=given_friends&psychedelics_trip_sitter=always&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=yes&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cmaking&presc_stim_use_past_12=1_per_month&presc_stim_prescribed=no&presc_stim_form=whole_pill%2Ccrushed_oral%2Csnorting&presc_stim_obtained=bought_friends_MIT%2Cbought_non_MIT%2Cgiven_friends%2CFSILG_group_parties&presc_stim_source_prescribed=yes&presc_stim_academic_use=yes_effective&presc_stim_with_alcohol=yes","10_100","no","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,student_group_events,parents,no_id,other_id,fake_id","given_friends","wine","gt100","gt100","no","elsewhere_socializing","yes","unsure","yes","yes","no","yes","yes","yes","yes","unsure","yes","yes","yes","yes","yes","yes","once","ge3","ge3","never","once","never","never","ge3","ge3","ge3","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,edible,other","bought_friends_MIT,bought_non_MIT,MIT_FSILG_parties,given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","yes","bowl","given_friends","NANS","yes","no","yes","yes","no","yes","yes","no","yes","no","yes","yes","yes","no","no","no","no","never","never","never","never","never","never","never","ge3","never","never","never","once","never","never","never","once","never","never","never","ge3","never","never","never","never","never","never","ge3"
"670","18b19d475de7787998ad9109996e1515e3a970e7c8f14ae3005c4f0a7b6be256","1431558335","caffeine_with_alcohol=yes&cocaine_circumstances=others_parties&cocaine_obtained=given_friends&psychedelics_trip_sitter=sometimes&psychedelics_bad_trip=never&psychedelics_reasonsa=yes&psychedelics_reasonsb=no&psychedelics_reasonsc=no&psychedelics_reasonsd=no&psychedelics_reasonse=yes&psychedelics_reasonsf=yes&psychedelics_reasonsg=no&psychedelics_reasonsh=no&psychedelics_reasonsi=no&psychedelics_reasonsj=no&psychedelics_reasonsk=no&psychedelics_reasonsl=no&psychedelics_reasonsm=no&psychedelics_reasonsn=no&psychedelics_reasonso=no&psychedelics_obtained=bought_friends_MIT%2Cbought_non_friends_MIT%2Conline&lsd_obtained=bought_friends_MIT%2Conline&lsd_dose=150_400","3_10","yes","no","NANS","gt100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties,official_parties,student_group_events,parents,no_id,fake_id,lower_drinking_age","fake_id","beer","gt100","gt100","no","my_parties","yes","no","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","yes","no","no","never","ge3","ge3","never","never","never","never","ge3","twice","ge3","never","10_100","joint,blunt,bowl,bong,improvised,vaporizer,edible,dabbing,liquid","bought_friends_MIT,bought_non_friends_MIT,bought_non_MIT,MIT_FSILG_parties,given_friends,legal_medical,online","NANS","NANS","NANS","at_lg_socializing","yes","no","yes","vaporizer","bought_friends_MIT","NANS","yes","no","yes","yes","yes","yes","yes","yes","no","no","no","no","yes","yes","no","no","no","never","never","never","never","never","never","never","never","never","never","never","ge3","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"671","a70b62b880ade10bb2f7aa6cc8baab53d9ff8a54038be63c1bedc1451ea6cd81","1431558382",,"NANS","NANS","NANS","NANS","10_100","yes","20","2","NANS","given_friends,unregistered_parties,parents","unregistered_parties","wine","never","never","no","others_parties","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","once","never","once","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"672","3291360228d7732911d713d289607c316b7e97155858ed93111bffef5695dc28","1431558542",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","lower_drinking_age","bought_friends","liquor","never","never","no","elsewhere_socializing","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"673","0f7590b91e0f53a9a6ebf50d3ea053be0e56c93f6a9115890ad7dcea9b6c0ba7","1431558617",,"NANS","NANS","NANS","NANS","once","no","21","4","NANS","other","other","other","never","never","no","other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"674","2d81a4896aa99b9e7321e219539675e6eabdac5cd97b4dc4333a37f28e07629a","1431559065","whippits_amount=le1","10_100","no","no","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,unregistered_parties","given_friends","malt","3_10","10_100","no","my_parties","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","never","twice","never","never","never","never","never","never","never","never","never","3_10","joint,bowl,bong,improvised,edible","given_friends","NANS","NANS","NANS","elsewhere_socializing","no","no","no","joint","given_friends","NANS","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","once","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"675","5e5d8a87983a34a9db48bae3d6d5702c88e3f400fffe4d58585e5e2705e4d576","1431559068",,"NANS","NANS","NANS","NANS","3_10","NANS","NANS","NANS","NANS","given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,off_campus,unregistered_parties","MIT_FSILG_parties","beer","never","twice","no","others_parties","yes","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","never","never","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"676","50ca21f12cde4b3770a6d893a03efd8f32bb79b1d2b8d2b3ad1d92efae163d42","1431559110",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"677","91df4cbd80973468ffd71708913428887dd312b689aaf6c6cc278a564f4b795e","1431559135",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"678","c84ea165759a3521788895a4c8d5711aac9f5ff0ce8c8ecdfc0118bff211f561","1431559344",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"679","1530cd23e97b6c54bb1002060af467642f7a066fadeddcf3e7c30b38a0335d9e","1431559457",,"NANS","NANS","NANS","NANS","3_10","yes","18","1","NANS","given_friends,unregistered_parties,student_group_events","unregistered_parties","high_alc","twice","3_10","no","my_parties","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","never","once","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"680","591c896b7a403d0812f96f9ff1161950b2b3e38cad9f7218610122e5dab9549d","1431559599",,"10_100","yes","no","NANS","gt100","yes","18","1","NANS","bought_friends,given_friends,MIT_FSILG_parties","bought_friends","high_alc","gt100","gt100","no","at_lg_socializing","yes","no","yes","no","no","yes","unsure","yes","no","no","no","no","no","no","no","no","never","ge3","never","never","never","never","never","never","never","ge3","never","10_100","joint,bowl,bong,vaporizer,edible","given_friends","18","1","yes","at_lg_socializing","no","no","yes","vaporizer","given_friends","NANS","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","never","never","never","never","never","never","NANS","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never","never"
"681","63a3dac8d037b7bb247147a844f2518fd1e83d4622e58e64111e98910028bc60","1431559630",,"NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"682","b2b03d54f03ae339e3ea5fe83f0b594aca17239221e5087a6b4491707271f6f6","1431559636",,"NANS","NANS","NANS","NANS","10_100","NANS","NANS","NANS","NANS","bought_friends,given_friends,MIT_FSILG_parties,non_MIT_FSILG_party,no_id,other_id,lower_drinking_age","given_friends","liquor","twice","3_10","no","bars","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","never","twice","never","never","never","never","never","never","never","never","never","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
