"resp","response_token","timestamp","p2q1","p2q2","p2q3","p2q4","p2q5","p2q6","p2q7a","p2q7b","p2q7c","p2q7d","p2q7e","p2q7f","p2q7g","p2q8a","p2q8b","p2q8c","p2q8d","p2q8e","p2q8f","p2q8g","p2q9","p2q10","p2q11","p2q12","p2q13","p2q14a","p2q14b","p2q14c","p2q15a","p2q16","p2q16a","p2q16b","p2q16c","p2q16d","p2q16e","p2q17","p2q17a","p2q17b","p2q17c","p2q17d","p2q17e","p2q18a","p2q18b","p2q19a","p2q19b","p2q19c","p2q19d","p2q19e","p2q19f","p2q20","p2q20a","p2q20b","p2q20c","p2q20d","p2q20e","p2q20f","p2q20g","p2q21","p2q21a","p2q21b","p2q21c","p2q21d","p2q21e","p2q21f","p2q22","p2q22a","p2q22b","p2q22c","p2q22d","p2q22e","p2q22f","p2q23","p2q23a","p2q23b","p2q23c","p2q23d","p2q23e","p2q24a","p2q24b","p2q25a","p2q25b","p2q25c","p2q25d","p2q26"
"350","6fd5564f4413b838c13fc3807499c0273641e972e60a7359484ec423b15c1757","1431547175","yes_def","no","inadequate","neither","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","very_neg","very_neg","very_neg","neutral","neg","NANS","slightly_pos","neg","no","no","once","never_cons","never_cons","never","never","never","never","yes","once","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"351","6d55558904dd120f3d08de39f0e89a2f2ec03b13c2a66c07575da6d11d1a1d2c","1431547210","yes_def","no","adequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","neg","neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"352","4be908dae0726bd5091ef8cb6622027ea33b0e3c1b2c21cc6f88246fe7745fec","1431547215","yes_def","think_so","unsure","unconf","v_unconf","never","very_neg","very_neg","neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","sli_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"353","a7fcf4bf9f5fa479aabc2b0d4eb000b0b24b87b9b9bffd2912dc10a08acc7868","1431547230","think_so","no","inadequate","v_unconf","v_unconf","never","very_neg","very_neg","neutral","neutral","very_neg","very_neg","very_neg","very_neg","very_neg","neutral","neutral","neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"354","d0b482e2e46c72118399b94f03bd916de5991a718bbf7f6c85d71837925309c5","1431547260","yes_def","think_so","inadequate","unconf","v_unconf","never","neg","very_neg","neg","very_neg","very_neg","sli_neg","very_neg","neutral","neg","slightly_pos","neg","neutral","sli_neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"355","6789188a9b750770876efc2fbf7fa4536b26740a01cf8321ef8616c347b6650c","1431547259","think_so","unsure","adequate","v_unconf","v_unconf","never","neg","very_neg","neg","very_neg","very_neg","neg","very_neg","sli_neg","neg","sli_neg","very_neg","very_neg","sli_neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"356","a835925a6e537888887c64498a99e9a6acbdccb077e62ba56ec0d325ebcbfe49","1431547259","think_so","no","adequate","unconf","v_unconf","never","neg","very_neg","sli_neg","sli_neg","very_neg","neutral","very_neg","neg","very_neg","neutral","neutral","very_neg","sli_neg","very_neg","think_so","no","never","gen_sources,other_undergrads","long_term_se,phys_add,psy_add,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"357","b3c17d8fc944c792342b7b8a0916993af87a495992141e8e4b5f1ca8a51789c5","1431547262","yes_def","yes_def","inadequate","unconf","conf","never","neutral","sli_neg","neutral","very_neg","very_neg","ver_pos","pos","neg","very_neg","neg","sli_neg","neg","very_neg","very_neg","yes_def","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,psy_add,ld50,avail,other_users","3_10","gt100","never","never","yes","10_100","once","never","never","never","yes","10_100","never","10_100","once","never","never","never","10_100","3_10","never","once","never","never","yes","3_10","never","3_10","twice","3_10","never","never","yes","never","never","3_10","once","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","yes","10_100","10_100","never","never","never","10_100","never","never","3_10","never","never","no"
"358","c1728d0ca0eeab9c8c3586b5f3c6a84dc11b8d9633207fbdd97ecc79d6fce143","1431547277","yes_def","yes_def","adequate","neither","neither","never","neutral","neg","neutral","neutral","neg","sli_neg","neg","sli_neg","neg","neg","neg","neg","sli_neg","neg","no","no","never","never_cons","never_cons","3_10","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"359","8d9c3c400a157b520ff99d0eff17123fa8b56540f678a12b826025f30582aa91","1431547286","yes_def","think_so","inadequate","neither","neither","never","neutral","sli_neg","neutral","neg","very_neg","neutral","sli_neg","sli_neg","neg","very_neg","very_neg","NANS","sli_neg","neg","think_so","no","twice","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,cost,avail,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","yes","NANS","twice","NANS","NANS","twice","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"360","5577bf920ad021aacbb2d46d1416fb44646db142ff544ad3fd36f3d2b331d883","1431547305","no","no","adequate","v_unconf","v_unconf","never","neg","very_neg","neg","neg","neutral","neg","very_neg","neg","very_neg","neg","sli_neg","sli_neg","neg","very_neg","unsure","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"361","f91c519b2296c43ea1e397a67656775c1843a932f6c0d51f1b0fa9ac148e9694","1431547299","yes_def","yes_def","inadequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","neg","very_neg","neg","sli_neg","very_neg","think_so","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"362","80aa300c12a41b60d41b9ef0f969f168e048c9403bdac8401c979771cdcd5140","1431547305","yes_def","yes_def","adequate","conf","neither","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","very_neg","neg","very_neg","yes_def","no","never","forums,online_like_erowid,gen_sources,other_undergrads,doctor","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,other_users,others_perc","gt100","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","NANS","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"363","ad3864839ec822df4bf1513dbbbd400c442e14b7ffc89c204204899f8af16980","1431547343","think_so","unsure","inadequate","unconf","neither","never","neg","very_neg","neg","neg","neg","sli_neg","neg","neg","neg","neg","neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"364","fd3eadc12edefd6c7ebc6544c3af60738dc7a4e9b4739aeda93ba6a9bc44445c","1431547324","think_so","no","inadequate","v_unconf","v_unconf","never","neutral","sli_neg","neutral","neutral","sli_neg","neutral","neutral","sli_neg","neg","neutral","sli_neg","sli_neg","sli_neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"365","3aea297ff522b2fb81dc53face85707c86568cc7b647cfa45db7cb027479f65b","1431547381","yes_def","yes_def","adequate","neither","neither","never","sli_neg","neg","neutral","neutral","sli_neg","neutral","neutral","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","sli_neg","no","no","once","other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"366","e2caa8888afb7469d2ddabaf9d068d7b0e0a9381488b60876325f5c16386c3cc","1431547328","think_so","yes_def","unsure","unconf","unconf","never","neg","very_neg","neutral","sli_neg","sli_neg","slightly_pos","sli_neg","neg","very_neg","sli_neg","sli_neg","sli_neg","neg","very_neg","no","no","twice","gen_sources","main_effects,short_term_se,long_term_se,phys_add,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"367","aa14a12619487af9af3ecff5ad17c6f82f80492888c88a281c60e29f197b6f7e","1431547338","think_so","think_so","adequate","unconf","conf","never","very_neg","very_neg","very_neg","very_neg","sli_neg","very_neg","very_neg","very_neg","very_neg","neutral","slightly_pos","sli_neg","neutral","sli_neg","no","no","once","other","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users,others_perc","3_10","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"368","f77c6a46cd4b217a184161f0ba4c7c5e4660937f7e963069378561eece827a9e","1431547382","no","no","inadequate","v_unconf","v_unconf","never","neg","very_neg","sli_neg","neg","neg","neg","very_neg","very_neg","very_neg","sli_neg","neg","sli_neg","neg","very_neg","no","no","never","never_cons,gen_sources,other_undergrads","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"369","3ad6f1326683b2aa74caad7b0baff5c98c08fa149aeccc65cfc67c2e1442f038","1431547414","no","no","unsure","v_conf","v_unconf","never","very_neg","very_neg","neutral","neutral","neutral","slightly_pos","neutral","very_neg","very_neg","pos","pos","sli_neg","neg","very_neg","no","no","never","forums,online_like_erowid,other","main_effects,phys_add,psy_add,avail","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"370","e38b975c0df5c00df7f8ad5a058c6cd25fc530f050263f6099e7885f7638da66","1431547445","yes_def","think_so","inadequate","unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","neutral","sli_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neutral","neutral","unsure","no","ge3","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","NANS","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"371","46244693315d5c34a9453538ec140b8524b5d55306462c02712865d3f8efed5e","1431547467","yes_def","unsure","adequate","neither","v_unconf","never","very_neg","very_neg","neg","very_neg","very_neg","neg","very_neg","sli_neg","neg","sli_neg","neg","sli_neg","sli_neg","neg","unsure","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"372","5fffcef7dcc2a6d83cc418ef9459ffab1a290efbe561fe24c612f41cf294224a","1431547473","yes_def","yes_def","adequate","conf","conf","never","neutral","sli_neg","neutral","sli_neg","neg","slightly_pos","sli_neg","sli_neg","neg","slightly_pos","slightly_pos","neg","neutral","sli_neg","no","no","twice","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users,others_perc","never","never","never","never","yes","3_10","never","never","never","never","yes","never","never","once","never","never","never","never","once","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"373","9914a6628c19b5bcc9aba359cf25f8f76114de47abfcd7ac5953f2bbdc2d3b2e","1431547520","yes_def","yes_def","adequate","neither","neither","never","sli_neg","very_neg","sli_neg","neg","sli_neg","sli_neg","neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","ge3","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"374","57981c0232e4aa9a00d3493dc12632d4fa5260c6698eb29b686f692c6ccd8ace","1431547505","think_so","unsure","adequate","v_unconf","v_unconf","never","neutral","very_neg","very_neg","very_neg","very_neg","neutral","very_neg","neg","neg","neg","neg","neg","neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"375","01c35e141dbe2c370d64ac364fbfe68ed50e15821a20492f6304988f3a34ca12","1431547511","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS","NANS"
"376","ddf9d0f5394ac7285381e86fb813ecd9fd735684005bf97f1f25b9721d23b2a8","1431547586","yes_def","yes_def","unsure","unconf","v_unconf","never","neg","very_neg","neg","very_neg","neg","neg","very_neg","neg","neg","sli_neg","neg","sli_neg","sli_neg","neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"377","5b6068202a5e0bea277dbd35c48d9e25f7694649a239e6862b0fe33d536c5e78","1431547628","no","no","inadequate","unconf","unconf","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"378","254d641351122390d7bc78b1e93fe5758c529554cf78efd170c3f76a88949cf4","1431547636","yes_def","yes_def","adequate","v_unconf","neither","never","neutral","neg","sli_neg","neg","very_neg","pos","neg","very_neg","very_neg","neutral","neg","very_neg","neg","very_neg","no","no","once","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,other_users,others_perc","gt100","never","never","never","yes","3_10","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"379","0e4e4d5d956cad883c1e9a5a23206cedac44aeab66f9cc4382747fd3508526b4","1431547650","no","no","unsure","unconf","v_unconf","never","very_neg","very_neg","very_neg","very_neg","neg","very_neg","very_neg","neutral","neg","sli_neg","sli_neg","neutral","sli_neg","neg","no","no","twice","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"380","d180fffcfb9d27cbc4eb8793b237ac3d9e5b26f7434342fda6ecabe1563ca047","1431547711","yes_def","yes_def","severely_inadequate","v_conf","conf","never","slightly_pos","sli_neg","very_neg","very_neg","neutral","sli_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","yes_def","no","twice","forums,online_like_erowid,gen_sources,other_undergrads,doctor,other","main_effects,short_term_se,cost","once","never","never","never","yes","3_10","3_10","never","never","never","yes","never","never","once","never","never","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"381","36a8b2d30497d8926db65afa56dbed6f98a677d1618706c4fe0645fcb007906c","1431547713","no","yes_def","adequate","unconf","neither","NANS","neg","very_neg","neg","neg","neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","once","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"382","2aa590630c7a8ff106846b837feb2ebba153e87817ef5add0b6792b5ca3a8f34","1431547726","no","no","unsure","neither","neither","never","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","very_neg","very_neg","very_neg","neg","very_neg","no","no","never","never_cons","never_cons","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"383","366cea3b9d5ca284e6e69f37f80700f6e2490146acdd0bfe3c2df461ecc52969","1431547726","yes_def","yes_def","severely_inadequate","v_conf","unconf","never","neg","very_neg","neutral","neg","neg","ver_pos","sli_neg","very_neg","very_neg","neutral","neutral","very_neg","pos","very_neg","yes_def","no","ge3","forums,online_like_erowid,gen_sources,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,other_users,others_perc","twice","never","never","never","yes","10_100","never","never","never","never","yes","twice","twice","once","never","never","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"384","e7586af6e028a88e7788c0d597d6c4865b067d188772d18a5de4e3cd4162c786","1431547729","yes_def","no","adequate","unconf","neither","never","sli_neg","very_neg","neutral","slightly_pos","sli_neg","slightly_pos","very_neg","neg","neg","sli_neg","sli_neg","neg","neg","very_neg","no","no","never","online_like_erowid,other_undergrads","main_effects,short_term_se,long_term_se,phys_add,psy_add,cost,avail,other_users,others_perc","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"385","b9a508db5903e2e21ac491a741636d9fb2481e1838674314eb0d8648f5e36ab3","1431547776","yes_def","no","inadequate","v_conf","unconf","never","neutral","sli_neg","sli_neg","neg","neutral","pos","slightly_pos","sli_neg","neg","neg","very_neg","sli_neg","sli_neg","neg","no","no","once","online_like_erowid,gen_sources","main_effects,long_term_se,phys_add,psy_add","never","never","never","never","yes","3_10","never","never","never","never","yes","3_10","never","twice","never","never","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
"386","a14aa642d9f7c7e6f031ca69d132345e0ed6d6cbd084afc5e846eb8c95af901f","1431547832","no","no","adequate","neither","neither","never","very_neg","very_neg","very_neg","very_neg","very_neg","sli_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","never","never_cons,forums,online_like_erowid,gen_sources,other_undergrads,doctor,other","never_cons,main_effects,short_term_se,long_term_se,phys_add,psy_add,ld50,other_users","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","never","never","no","NANS","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","NANS","no","NANS","NANS","NANS","NANS","NANS","never","never","never","never","never","never","no"
