"resp","response_token","timestamp","p1q1","p1q2","p1q3","p1q4a","p1q4b","p1q5a","p1q5b","p1q6","p1q6a","p1q7","p1q7a","p1q7b","p1q8","p1q9","p1q10","p1q11","p1q12","p1q13","p1q14","p1q15","p1q16","p1q17a","p1q17b","p1q17c","p1q18a","p1q18b","p1q18c","p1q19","p1q20","p1q21","p1q22","p1q23","p1q24","p1q25","p1q26","p1q26a","p1q27","p1q27a","p1q27b","p1q28","p1q29","p1q30","p1q31","p1q32","p1q33","p1q34a","p1q34b","p1q34c","p1q35a","p1q35b","p1q35c","p1q36","p1q37","p1q37a","p1q38","p1q38a","p1q39","p1q40"
"111","ef31d1cfe3b0a2392526a41d72abf4d2387baddb3271ac3ca1db2e3756a82787","1431542581","0","think_so","no","very_neg","very_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","1","3_4","3_4","less","adequate","yes","yes","sli_neg","very_neg","slightly_pos","neutral","neutral","neutral","no","no","conf","neither","once","3_5","3_5","yes","17_18","yes","yes","5_10_total","no","think_so","unsure","neither","neither","no","neutral","sli_neg","neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"112","0aa91611626d40b40fa8754eca2b9984036acb8f9bddc2396862d916c8c34ac7","1431542605","2+","yes_def","yes","neg","sli_neg","neg","sli_neg","yes","14_15","yes","cigarette,hookah,ecig,with_marijauna","ge_1_per_day","yes_def","3_4","3_4","3_4","3_4","about_same","comprehensive","yes","yes","neutral","neg","pos","sli_neg","neg","pos","no","no","conf","conf","never","6_8","3_5","yes","15_16","yes","yes","1_per_week","no","yes_def","yes_def","strong_sup","sup","yes","pos","pos","neutral","slightly_pos","sli_neg","neg","6_8","yes","NANS","yes","5_10_total","no","no"
"113","964a4d10daab80b3a222b244a2b9db430b81f0fa29a618b6a400d8ccd1deec35","1431542685","0","yes_def","no","neg","very_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","5_7","3_4","1_2","1_2","more","comprehensive","unsure","yes","very_neg","very_neg","neutral","neg","neg","neutral","no","no","conf","conf","never","ge9","ge9","no","NANS","yes","no","1_5_total","no","yes_def","yes_def","sup","sup","no","neutral","neutral","neutral","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"114","f286f59bf56c6011f52bee175112133c12f14cdb67c607bc9a4db2461c5e6e87","1431542707","0","think_so","no","very_neg","neg","neg","neg","yes","ge18","no","NANS","NANS","yes_def","8_10","8_10","3_4","5_7","about_same","unsure","yes","yes","neg","neg","neutral","neg","sli_neg","neutral","no","no","neither","neither","twice","3_5","twice","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","neither","neither","no","neutral","neutral","sli_neg","neutral","neutral","neutral","twice","yes","NANS","no","NANS","no","no"
"115","7a11c2a43f99b6f2dba600cce25fa43f98f145456a755b8b9f4fddfdac76d6cb","1431542730","0","unsure","no","neg","sli_neg","neg","neutral","yes","16_17","yes","hookah,cigar","1_5_total","yes_def","2","2","3_4","1_2","much_less","adequate","yes","yes","neg","neg","neutral","sli_neg","very_neg","neutral","no","no","unconf","unconf","once","ge9","ge9","yes","13_14","yes","yes","1_5_total","no","yes_def","yes_def","strong_sup","sup","unsure","neutral","neutral","sli_neg","neutral","neutral","sli_neg","ge9","no","NANS","yes","not_past_12","no","no"
"116","018fed66ec40886c7ddf38a1de9afbb3ee703361d0df45a229b262866f211f59","1431542693","0","no","no","neg","sli_neg","sli_neg","neutral","no","NANS","no","NANS","NANS","yes_def","0","0","3_4","1_2","less","unsure","yes","yes","neutral","sli_neg","neutral","neutral","sli_neg","neutral","no","no","unconf","neither","never","6_8","never","yes","15_16","yes","yes","5_10_total","no","think_so","no","opp","strong_opp","no","neutral","sli_neg","neg","neutral","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"117","2fabb985b8a418110c331259393b3f37b27f0cae586805b97074be6a7ec38e28","1431542735","0","no","no","very_neg","neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","3_4","less","adequate","yes","yes","sli_neg","neg","pos","neutral","neg","neutral","unsure","no","v_conf","neither","never","3_5","3_5","yes","17_18","yes","yes","5_10_total","no","yes_def","no","strong_sup","sup","unsure","pos","neutral","neg","pos","slightly_pos","sli_neg","never","no","NANS","no","NANS","no","no"
"118","d85abb849cc1d0eb3ff2220295182324fba5fb834867156ec8b8b0682601d5dd","1431542740","0","unsure","no","very_neg","neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","1_2","less","adequate","yes","unsure","neg","neg","pos","sli_neg","sli_neg","neutral","no","no","neither","neither","once","twice","never","yes","15_16","yes","yes","1_per_month","no","think_so","unsure","neither","opp","no","sli_neg","neg","neg","neutral","sli_neg","sli_neg","twice","no","NANS","no","NANS","no","no"
"119","dd28db3559d07ea9062e105e3a26c9abc0e410b0ac67f232488e7b6cc476af34","1431542736","0","yes_def","no","very_neg","neg","neg","neutral","no","NANS","no","NANS","NANS","yes_def","1","1","5_7","11_13","much_less","comprehensive","yes","yes","ver_pos","neutral","very_neg","pos","slightly_pos","very_neg","no","no","v_conf","v_conf","once","once","once","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","unsure","ver_pos","pos","pos","pos","pos","pos","ge9","no","NANS","yes","1_5_total","no","no"
"120","fbdbca20d45e3b2b7b5ced2627dc3d932cacd324910a33a6cececb40567190c0","1431542775","0","yes_def","no","very_neg","very_neg","neg","neg","no","ge18","no","NANS","NANS","unsure","2","2","3_4","1_2","about_same","adequate","yes","yes","sli_neg","neg","neutral","neutral","sli_neg","neutral","no","no","conf","neither","once","6_8","6_8","yes","17_18","yes","yes","1_5_total","no","yes_def","think_so","strong_sup","strong_sup","yes","neutral","neutral","neutral","neutral","neutral","neutral","6_8","yes","NANS","yes","5_10_total","no","no"
"121","c0720af28e1dbc85a7a21ad3778e4fca3b3bcd63e7903945274560059109ab08","1431542783","0","think_so","no","sli_neg","sli_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","think_so","3_4","2","0","1_2","less","unsure","yes","yes","sli_neg","sli_neg","slightly_pos","sli_neg","sli_neg","neutral","no","no","neither","neither","never","3_5","twice","yes","17_18","yes","yes","1_per_month","no","yes_def","yes_def","sup","sup","unsure","neutral","neutral","neutral","neutral","neutral","neutral","once","no","NANS","no","NANS","no","no"
"122","35723e6b65891bcf973fe93f835d1fca558e857e5f018a38067595b658c5759c","1431542815","0","no","no","very_neg","neg","very_neg","sli_neg","no","NANS","no","NANS","NANS","think_so","1","1","3_4","0","about_same","adequate","unsure","unsure","neg","very_neg","neutral","neutral","sli_neg","slightly_pos","no","no","unconf","unconf","never","3_5","3_5","no","NANS","no","NANS","NANS","no","yes_def","no","neither","opp","no","neutral","neg","very_neg","slightly_pos","slightly_pos","sli_neg","never","no","NANS","no","NANS","no","no"
"123","cb946049371067ed5675d7fcde67800fbe5a8fdcbca8a7f71dd7c2c337c267bb","1431542819","0","yes_def","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","3_4","1_2","1_2","less","adequate","yes","no","neg","sli_neg","slightly_pos","neg","neg","neutral","no","no","conf","conf","never","6_8","ge9","no","NANS","yes","yes","1_per_week","no","yes_def","think_so","neither","neither","no","slightly_pos","neutral","neg","neg","neg","neg","once","no","NANS","no","NANS","no","no"
"124","0675e972512b892a1c719910d4bbb44361e00c7427d5adb62bd04c9aa83cd40a","1431542805","0","think_so","no","very_neg","sli_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","5_7","8_10","much_less","adequate","yes","yes","pos","neutral","ver_pos","pos","sli_neg","pos","no","no","v_conf","v_conf","twice","never","never","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","sup","sup","no","pos","neutral","neutral","slightly_pos","slightly_pos","slightly_pos","never","no","NANS","no","NANS","no","no"
"125","c289f86bd8b60640e76263d0e501141cb642e8d59ca29231b1261639ea12e86c","1431542869","0","unsure","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","1_2","about_same","adequate","yes","unsure","neg","very_neg","neutral","sli_neg","very_neg","neutral","no","no","neither","neither","never","6_8","3_5","no","NANS","yes","yes","1_5_total","no","yes_def","no","sup","neither","no","sli_neg","very_neg","very_neg","neutral","sli_neg","neg","never","no","NANS","no","NANS","no","no"
"126","7b57b822a97de27b678e561dfc04304ee83624c804e7b2252b32c46000553164","1431542884","1","unsure","no","neg","neutral","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","1_2","about_same","comprehensive","yes","yes","neutral","neutral","neutral","slightly_pos","sli_neg","sli_neg","no","no","conf","v_conf","once","3_5","3_5","yes","13_14","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","no","neutral","neutral","sli_neg","neutral","neutral","sli_neg","twice","no","NANS","yes","not_past_12","no","no"
"127","6cef567e24b0ba06a4edabf43ffd9c5caaa58001a54a6482aba3fb15ccdfb363","1431542879","0","no","no","very_neg","very_neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","3_4","about_same","adequate","yes","yes","neutral","sli_neg","ver_pos","neutral","sli_neg","neutral","no","no","conf","conf","once","ge9","ge9","yes","11_12","yes","yes","1_per_week","no","yes_def","unsure","strong_sup","neither","unsure","slightly_pos","slightly_pos","neutral","pos","pos","neutral","once","no","NANS","no","NANS","no","no"
"128","0aecadde382c8856aa433683dc5b7bfc01c867157e5ce07d977534f70f6d5bd0","1431542884","0","yes_def","no","neg","neg","neg","neg","no","NANS","yes","with_marijauna","not_past_12","yes_def","2","2","5_7","3_4","about_same","unsure","yes","yes","sli_neg","sli_neg","NANS","sli_neg","neg","neutral","no","unsure","conf","conf","never","6_8","6_8","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","think_so","sup","sup","yes","neutral","neutral","neutral","sli_neg","sli_neg","neg","3_5","yes","NANS","yes","5_10_total","no","no"
"129","daebe9083402f78a235ccf99c2506deb2a33d1728a6b6c9445745d0dcf44dfdd","1431542878","0","think_so","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","3_4","about_same","adequate","yes","yes","sli_neg","neg","neutral","neg","neg","neutral","no","no","conf","v_conf","once","3_5","3_5","no","NANS","yes","yes","1_per_2_weeks","no","yes_def","think_so","neither","opp","no","neg","very_neg","very_neg","neg","neg","neg","never","no","NANS","no","NANS","no","no"
"130","8ee94aa01cc03db386bf2cf55c174fe978aba55d5a311f1f2e9a8507d1c212d1","1431542915","0","think_so","no","very_neg","very_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","0","much_less","adequate","yes","no","very_neg","neutral","neutral","sli_neg","neutral","neutral","no","no","unconf","conf","once","3_5","3_5","yes","17_18","yes","yes","1_5_total","no","unsure","no","opp","opp","no","very_neg","very_neg","very_neg","neg","neg","neg","once","no","NANS","no","NANS","no","no"
"131","660d9d038bb141d9ae8c926fa0394d60e955733e005edc4592ab26fdc9751e9a","1431542966","0","think_so","no","neg","neg","neutral","neutral","no","NANS","no","NANS","NANS","yes_def","0","0","3_4","0","less","adequate","no","no","neutral","neutral","neutral","neutral","neutral","neutral","no","no","neither","neither","never","3_5","3_5","no","NANS","yes","no","1_5_total","no","yes_def","think_so","strong_sup","strong_sup","no","pos","neutral","neutral","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"132","4879190a2392988db44a3c15486e2805dde6df5ce6a292201f1e020bf1c99c98","1431542977","0","yes_def","yes","neutral","neutral","neg","sli_neg","yes","16_17","yes","cigarette,hookah,ecig,with_marijauna,cigar,pipe,chewing,snus,gum_lozenge","ge_1_per_day","yes_def","5_7","5_7","3_4","8_10","more","adequate","yes","yes","neutral","neutral","neutral","slightly_pos","slightly_pos","neutral","no","no","v_conf","conf","never","ge9","ge9","yes","15_16","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","pos","pos","pos","neutral","neutral","neutral","ge9","yes","NANS","yes","ge_1_per_day","y_mit_incl_non_friends","no"
"133","54c532af2a50e7e95eb74ccb8992725a85d0a56f1ce6714363007d470c653e87","1431543001","0","yes_def","no","neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","5_7","5_7","8_10","5_7","much_less","comprehensive","yes","yes","ver_pos","sli_neg","neutral","neutral","neg","neutral","no","no","v_conf","v_conf","never","ge9","ge9","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","neither","opp","no","neutral","neutral","sli_neg","slightly_pos","neutral","neg","ge9","no","NANS","no","NANS","no","no"
"134","f7cd06c6409e56b0532cc7cc544899a88d765ae74a4905661d5e14f78774fd7d","1431543038","0","think_so","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","1_2","less","adequate","yes","yes","very_neg","very_neg","neutral","neutral","sli_neg","pos","no","no","unconf","unconf","never","twice","twice","yes","17_18","yes","yes","1_5_total","no","think_so","unsure","sup","strong_opp","no","neg","very_neg","very_neg","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"135","6677fc90645b77cbd027c7604ee9b03cd6b3cf104b099f669dda342bf9becfe9","1431543048","0","unsure","no","very_neg","sli_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","5_7","3_4","more","adequate","yes","yes","neutral","sli_neg","neutral","neutral","neutral","neutral","no","no","v_conf","v_conf","once","ge9","6_8","no","NANS","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","sup","yes","neutral","neutral","neutral","slightly_pos","neutral","neutral","ge9","no","NANS","yes","not_past_12","no","no"
"136","451f2676cfedd66a95dfa00d3c378ec66f8f43c6ea3be41c61a2e3e8c8e42ca7","1431543047","1","yes_def","no","very_neg","neutral","very_neg","neg","yes","ge18","yes","hookah","1_5_total","yes_def","3_4","3_4","5_7","5_7","less","adequate","yes","yes","pos","neutral","neutral","sli_neg","sli_neg","neutral","no","no","v_conf","v_conf","never","ge9","ge9","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","strong_sup","strong_sup","yes","ver_pos","ver_pos","neutral","neutral","neutral","neutral","6_8","yes","NANS","yes","1_per_month","no","no"
"137","808e85e90c40cffa20e2f6799f923d2f2e1443792451bc3904fe3bed6f2672b9","1431543964","0","think_so","no","very_neg","sli_neg","sli_neg","neutral","no","NANS","no","NANS","NANS","yes_def","2","2","3_4","0","about_same","unsure","unsure","unsure","very_neg","neutral","neutral","sli_neg","slightly_pos","ver_pos","no","no","conf","conf","never","ge9","3_5","no","NANS","yes","yes","1_5_total","no","yes_def","unsure","strong_opp","strong_opp","no","neg","very_neg","very_neg","slightly_pos","slightly_pos","neutral","3_5","no","NANS","no","NANS","no","no"
"138","b3b05653d7dc22237f2929a14806b97c9fe0a55f23bb97c9639c3ec12ced522c","1431543069","0","yes_def","no","very_neg","very_neg","very_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","3_4","about_same","adequate","yes","yes","neg","neg","neutral","sli_neg","neg","neutral","no","yes","conf","conf","twice","ge9","6_8","yes","15_16","yes","yes","1_per_month","no","yes_def","yes_def","sup","neither","no","neg","neg","neg","neutral","neutral","neutral","6_8","no","NANS","no","NANS","no","no"
"139","dd4f68f181f61f2f2aee23816bdfe6c1249514de70a82467d72756cacc4d7565","1431543082","0","yes_def","no","sli_neg","neutral","sli_neg","neutral","no","NANS","yes","cigarette,hookah,ecig,with_marijauna","1_5_total","yes_def","5_7","3_4","5_7","3_4","much_less","adequate","no","no","neutral","neg","slightly_pos","neutral","sli_neg","neutral","no","yes","neither","unconf","never","ge9","ge9","yes","17_18","yes","yes","1_per_month","no","yes_def","yes_def","strong_sup","strong_sup","no","neutral","neutral","sli_neg","pos","slightly_pos","neutral","6_8","no","NANS","yes","about_1_day","no","no"
"140","98c60caed307df27c6a8c48a611ac4ab6068f891f87ff9d19bc0118970e1e35f","1431543078","0","yes_def","yes","neg","neutral","very_neg","neg","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar,chewing,snus","1_per_month","yes_def","3_4","3_4","5_7","5_7","less","adequate","yes","yes","neutral","sli_neg","neutral","sli_neg","very_neg","slightly_pos","unsure","no","v_conf","v_conf","never","6_8","3_5","yes","17_18","yes","yes","1_per_week","yes","yes_def","yes_def","strong_sup","sup","yes","pos","neutral","sli_neg","sli_neg","neg","very_neg","ge9","no","NANS","yes","5_10_total","no","no"
"141","3881113084e6f3b9c579128dde779bdb16dbe2e7c5ad595e1ba7513111a6befd","1431543093","1","think_so","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","about_same","adequate","no","no","very_neg","very_neg","neutral","neg","very_neg","neutral","no","no","conf","NANS","never","ge9","ge9","yes","11_12","yes","yes","1_5_total","no","yes_def","think_so","strong_sup","strong_sup","no","neutral","neutral","sli_neg","slightly_pos","slightly_pos","sli_neg","3_5","no","NANS","yes","1_5_total","no","no"
"142","d04953a6f0c2834172c53218340681ee14101dc7aa494406eaee6b2cf5851c1f","1431543100","0","yes_def","no","very_neg","neg","neg","slightly_pos","yes","ge18","yes","hookah","1_5_total","yes_def","3_4","3_4","3_4","3_4","less","adequate","yes","yes","ver_pos","sli_neg","sli_neg","neg","neutral","pos","no","no","v_conf","v_conf","twice","6_8","6_8","yes","15_16","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","slightly_pos","slightly_pos","slightly_pos","neutral","sli_neg","neg","ge9","yes","NANS","yes","1_5_total","no","no"
"143","f8b21ba77e925b866224f9595c9da1f6e1a2fae95065bccf09c9f1f9ac236ad3","1431543143","0","think_so","no","very_neg","neg","sli_neg","neutral","no","NANS","no","NANS","NANS","yes_def","1","1","5_7","3_4","about_same","adequate","yes","yes","neutral","neg","pos","sli_neg","neg","ver_pos","no","no","conf","neither","never","once","once","yes","le10","yes","no","5_10_total","no","yes_def","think_so","sup","neither","unsure","pos","slightly_pos","neg","slightly_pos","neutral","neutral","never","no","NANS","no","NANS","no","no"
"144","85f8144c57ef131ffde7a9997aa4f9622d81a6e3b842de7ed2c73a37c322cd8e","1431543150","0","unsure","no","very_neg","neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","3_4","5_7","less","adequate","yes","yes","neutral","sli_neg","neutral","neutral","neutral","neutral","no","unsure","conf","neither","once","6_8","6_8","yes","17_18","yes","yes","1_per_week","no","yes_def","yes_def","neither","neither","no","neutral","neutral","neg","neutral","neutral","sli_neg","6_8","no","NANS","yes","not_past_12","no","no"
"145","00a579d00869e568d6893425134180f349c5f8c36732bc62106e611adcd1c577","1431543167","0","yes_def","no","neg","neutral","very_neg","neg","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar","not_past_12","yes_def","8_10","8_10","1_2","1_2","much_less","comprehensive","yes","unsure","neutral","neutral","neutral","sli_neg","neg","neutral","no","no","v_conf","v_conf","never","6_8","6_8","no","NANS","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","no","ver_pos","ver_pos","pos","ver_pos","pos","slightly_pos","3_5","no","NANS","yes","1_per_month","no","no"
"146","c26321937f9cb93036b45f3cc359ee1c79af0d77780da373495210ecd7409016","1431543197","0","no","no","very_neg","very_neg","very_neg","very_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","1_2","about_same","adequate","yes","yes","neg","very_neg","slightly_pos","neg","very_neg","neutral","think_so","unsure","conf","conf","never","6_8","6_8","yes","15_16","yes","yes","5_10_total","no","yes_def","yes_def","sup","sup","unsure","slightly_pos","neutral","sli_neg","slightly_pos","neutral","sli_neg","twice","no","NANS","yes","not_past_12","no","no"
"147","b8036a8a9b5c1316a5596fc066bf6ed4bf7ac22acdebe12c46e166afdbf4675c","1431543198","0","think_so","no","very_neg","neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","0","not_sure","unsure","unsure","no","neg","very_neg","neutral","sli_neg","very_neg","neutral","no","no","unconf","unconf","never","ge9","6_8","no","NANS","no","NANS","NANS","no","think_so","unsure","strong_sup","sup","no","neutral","neutral","sli_neg","neutral","neutral","neutral","twice","no","NANS","no","NANS","no","no"
"148","1ada003ffbe47ff42209822a0d403c7cc4c1bec83fba6b16f0ec47649938a80f","1431543205","0","think_so","no","very_neg","very_neg","sli_neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","8_10","5_7","5_7","5_7","less","adequate","yes","yes","neutral","sli_neg","neutral","neg","sli_neg","neutral","no","no","conf","conf","once","ge9","ge9","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","think_so","neither","neither","no","neutral","neutral","sli_neg","sli_neg","sli_neg","neg","3_5","no","NANS","no","NANS","no","no"
"149","637447df3a589d63fea11683c3d807316e36552a593a197ed85598fb23d936e4","1431543266","0","think_so","no","very_neg","sli_neg","neg","neg","no","NANS","no","NANS","NANS","yes_def","1","1","3_4","1_2","about_same","adequate","unsure","unsure","neutral","neutral","neutral","neutral","neutral","neutral","no","no","neither","neither","never","3_5","3_5","yes","15_16","yes","yes","1_per_month","no","yes_def","think_so","strong_sup","sup","no","slightly_pos","slightly_pos","neutral","neutral","neutral","neutral","twice","no","NANS","no","NANS","no","no"
"150","2c44cec7fdaaa533dee0cb57c4b945ba0944684d3e2177301aae72b8262db25a","1431543268","0","yes_def","no","very_neg","very_neg","very_neg","sli_neg","yes","16_17","yes","hookah","5_10_total","yes_def","1","1","3_4","3_4","less","adequate","yes","yes","neutral","neg","neutral","neutral","neg","neutral","no","yes","v_conf","v_conf","never","ge9","6_8","yes","17_18","yes","yes","1_per_week","no","yes_def","yes_def","strong_sup","strong_sup","yes","slightly_pos","neutral","neutral","neutral","neutral","neutral","3_5","yes","NANS","yes","5_10_total","no","no"
"151","7a7aa1d6452348d7d5da5eb8107cf89fa4fde15c9f379ab419890807c061da1c","1431543295","0","no","no","very_neg","very_neg","very_neg","neg","no","NANS","no","NANS","NANS","unsure","2","2","3_4","0","less","adequate","no","no","sli_neg","very_neg","neutral","neutral","sli_neg","neutral","no","no","conf","conf","once","ge9","ge9","no","NANS","no","NANS","NANS","no","yes_def","think_so","strong_sup","opp","no","neutral","sli_neg","very_neg","neutral","neutral","neg","3_5","no","NANS","no","NANS","no","no"
"152","422518315d4af00ef1bcb9feebe82000324663351d9a979f1f2d4eed1311f00b","1431543311","0","think_so","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","think_so","2","2","3_4","1_2","much_less","comprehensive","yes","yes","neg","very_neg","neutral","very_neg","very_neg","neutral","no","no","conf","neither","never","3_5","3_5","yes","17_18","yes","yes","5_10_total","no","yes_def","think_so","opp","opp","unsure","slightly_pos","neutral","very_neg","neutral","neutral","neutral","twice","yes","NANS","yes","1_5_total","no","no"
"153","7afbce8f8f00721e4676a7ad202fdd71880c9f23d9bb8a8ced3bcfde1dc548da","1431543388","0","unsure","no","very_neg","very_neg","neg","neg","no","NANS","no","NANS","NANS","think_so","0","0","5_7","5_7","about_same","adequate","unsure","unsure","pos","slightly_pos","slightly_pos","neutral","slightly_pos","slightly_pos","no","no","neither","neither","never","twice","never","no","NANS","yes","yes","1_5_total","no","think_so","think_so","sup","sup","no","neutral","neutral","neutral","slightly_pos","neutral","sli_neg","never","no","NANS","no","NANS","no","no"
"154","b1439d4887b1cb35604a98debfaa18c26a865b9aad06ad05b079d62c1a22725b","1431543321","0","yes_def","no","very_neg","very_neg","very_neg","neg","no","NANS","no","NANS","NANS","yes_def","2","2","5_7","1_2","less","inadequate","yes","yes","sli_neg","neg","slightly_pos","sli_neg","neg","neutral","no","no","v_conf","v_conf","3_5","ge9","3_5","yes","17_18","yes","yes","1_per_month","yes","yes_def","yes_def","sup","strong_opp","no","slightly_pos","sli_neg","very_neg","pos","slightly_pos","neg","3_5","no","NANS","no","NANS","no","no"
"155","5984189a5c028d2992af758c049e5bab6b5ccaa17474b1cc1f17684789d3eea1","1431543346","0","yes_def","yes","very_neg","very_neg","sli_neg","neutral","yes","ge18","yes","cigar","1_5_total","yes_def","11_13","11_13","5_7","8_10","less","unsure","no","no","pos","pos","very_neg","pos","slightly_pos","very_neg","no","no","v_conf","v_conf","3_5","ge9","ge9","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","neither","opp","no","neg","very_neg","very_neg","ver_pos","ver_pos","ver_pos","ge9","no","NANS","no","NANS","no","no"
"156","479aea5d51a57afdb0b5133a462abf010adc5b98a1413bb09fce88bb5c7ef6b7","1431543356","0","think_so","no","very_neg","neg","neg","sli_neg","no","NANS","no","NANS","NANS","yes_def","3_4","3_4","5_7","1_2","about_same","adequate","yes","unsure","very_neg","neg","neutral","neg","neg","pos","no","no","conf","unconf","never","ge9","ge9","no","NANS","yes","yes","1_5_total","no","yes_def","think_so","strong_sup","strong_sup","no","neutral","neutral","neutral","neutral","neutral","neutral","3_5","no","NANS","no","NANS","no","no"
"157","deca9c65e83d39bb5baecd149615dd68e705d4a9ec7d17e4a166d886a1dff3c4","1431543367","0","no","no","very_neg","neg","very_neg","neg","no","NANS","no","NANS","NANS","no","0","0","0","0","much_less","comprehensive","no","no","very_neg","very_neg","very_neg","very_neg","very_neg","very_neg","no","no","conf","v_conf","never","never","never","no","NANS","no","NANS","NANS","no","no","no","sup","sup","no","neutral","neutral","neutral","neutral","neutral","neutral","never","no","NANS","no","NANS","no","no"
"158","6e83b0b654a3c19fa98fcc4f7efe21fde07c7a819366ed397c79bff6bad811d5","1431543406","0","no","no","very_neg","neutral","neg","neutral","no","NANS","no","NANS","NANS","yes_def","0","0","3_4","1_2","less","unsure","yes","unsure","sli_neg","neg","neutral","sli_neg","neutral","neutral","no","no","conf","unconf","never","never","never","yes","15_16","yes","yes","1_per_week","no","yes_def","yes_def","neither","neither","no","neutral","sli_neg","neg","slightly_pos","slightly_pos","neutral","never","no","NANS","no","NANS","no","no"
"159","073059f1576c880a0ba56e208a8fbf719d1db42609296f862d28290f5f184d42","1431543422","0","think_so","no","neg","neg","very_neg","very_neg","yes","ge18","yes","hookah,with_marijauna,cigar","1_5_total","yes_def","2","2","5_7","1_2","less","comprehensive","yes","yes","sli_neg","sli_neg","ver_pos","neg","very_neg","neutral","no","no","conf","neither","once","ge9","ge9","yes","17_18","yes","yes","1_per_2_weeks","no","yes_def","yes_def","sup","sup","yes","pos","pos","neg","ver_pos","ver_pos","neutral","ge9","no","NANS","yes","1_per_2_weeks","y_mit_friends","no"
"160","e078a1b98ad264bb7b07b7362fb5b1a13978a80b519b24dd1df4be5c80a69006","1431543447","0","no","no","very_neg","neg","neg","neg","yes","16_17","yes","cigarette,hookah","1_5_total","yes_def","1","1","1_2","3_4","less","adequate","yes","yes","sli_neg","sli_neg","neutral","neg","sli_neg","neutral","no","no","unconf","unconf","once","once","once","yes","17_18","yes","yes","1_5_total","no","yes_def","unsure","strong_sup","strong_sup","yes","slightly_pos","slightly_pos","neutral","sli_neg","sli_neg","sli_neg","never","yes","NANS","yes","1_5_total","no","no"
"161","eac1e0225b8615f0a106fc4b59928699f28ee7c07ed17b9fe0a36efca35b6907","1431543452","0","yes_def","no","neg","sli_neg","neg","sli_neg","no","NANS","yes","cigarette,hookah,ecig,with_marijauna,cigar","5_10_total","yes_def","8_10","8_10","5_7","5_7","more","comprehensive","unsure","unsure","neutral","neutral","neutral","sli_neg","sli_neg","neutral","unsure","no","v_conf","v_conf","twice","6_8","3_5","yes","17_18","yes","yes","2_5_per_week","no","yes_def","yes_def","strong_sup","strong_sup","no","neutral","neutral","sli_neg","neutral","neutral","sli_neg","ge9","no","NANS","yes","1_5_total","no","no"
